Field;ID;Type (Type);default;en-us
HolographicScreenshot24;423;Relative path (or URL to file in Partner Center);;
HolographicScreenshot25;424;Relative path (or URL to file in Partner Center);;
HolographicScreenshot26;425;Relative path (or URL to file in Partner Center);;
HolographicScreenshot27;426;Relative path (or URL to file in Partner Center);;
HolographicScreenshot28;427;Relative path (or URL to file in Partner Center);;
HolographicScreenshot29;428;Relative path (or URL to file in Partner Center);;
HolographicScreenshot30;429;Relative path (or URL to file in Partner Center);;
HolographicScreenshotCaption1;450;Text;;
HolographicScreenshotCaption2;451;Text;;
HolographicScreenshotCaption3;452;Text;;
HolographicScreenshotCaption4;453;Text;;
HolographicScreenshotCaption5;454;Text;;
HolographicScreenshotCaption6;455;Text;;
HolographicScreenshotCaption7;456;Text;;
HolographicScreenshotCaption8;457;Text;;
HolographicScreenshotCaption9;458;Text;;
HolographicScreenshotCaption10;459;Text;;
HolographicScreenshotCaption11;460;Text;;
HolographicScreenshotCaption12;461;Text;;
HolographicScreenshotCaption13;462;Text;;
HolographicScreenshotCaption14;463;Text;;
HolographicScreenshotCaption15;464;Text;;
HolographicScreenshotCaption16;465;Text;;
HolographicScreenshotCaption17;466;Text;;
HolographicScreenshotCaption18;467;Text;;
HolographicScreenshotCaption19;468;Text;;
HolographicScreenshotCaption20;469;Text;;
HolographicScreenshotCaption21;470;Text;;
HolographicScreenshotCaption22;471;Text;;
HolographicScreenshotCaption23;472;Text;;
HolographicScreenshotCaption24;473;Text;;
HolographicScreenshotCaption25;474;Text;;
HolographicScreenshotCaption26;475;Text;;
HolographicScreenshotCaption27;476;Text;;
HolographicScreenshotCaption28;477;Text;;
HolographicScreenshotCaption29;478;Text;;
HolographicScreenshotCaption30;479;Text;;
SurfaceHubScreenshot11;510;Relative path (or URL to file in Partner Center);;
SurfaceHubScreenshot12;511;Relative path (or URL to file in Partner Center);;
SurfaceHubScreenshot13;512;Relative path (or URL to file in Partner Center);;
SurfaceHubScreenshot14;513;Relative path (or URL to file in Partner Center);;
SurfaceHubScreenshot15;514;Relative path (or URL to file in Partner Center);;
SurfaceHubScreenshot16;515;Relative path (or URL to file in Partner Center);;
SurfaceHubScreenshot17;516;Relative path (or URL to file in Partner Center);;
SurfaceHubScreenshot18;517;Relative path (or URL to file in Partner Center);;
SurfaceHubScreenshot19;518;Relative path (or URL to file in Partner Center);;
SurfaceHubScreenshot20;519;Relative path (or URL to file in Partner Center);;
SurfaceHubScreenshot21;520;Relative path (or URL to file in Partner Center);;
SurfaceHubScreenshot22;521;Relative path (or URL to file in Partner Center);;
SurfaceHubScreenshot23;522;Relative path (or URL to file in Partner Center);;
SurfaceHubScreenshot24;523;Relative path (or URL to file in Partner Center);;
SurfaceHubScreenshot25;524;Relative path (or URL to file in Partner Center);;
SurfaceHubScreenshot26;525;Relative path (or URL to file in Partner Center);;
SurfaceHubScreenshot27;526;Relative path (or URL to file in Partner Center);;
SurfaceHubScreenshot28;527;Relative path (or URL to file in Partner Center);;
SurfaceHubScreenshot29;528;Relative path (or URL to file in Partner Center);;
SurfaceHubScreenshot30;529;Relative path (or URL to file in Partner Center);;
SurfaceHubScreenshotCaption11;560;Text;;
SurfaceHubScreenshotCaption12;561;Text;;
SurfaceHubScreenshotCaption13;562;Text;;
SurfaceHubScreenshotCaption14;563;Text;;
SurfaceHubScreenshotCaption15;564;Text;;
SurfaceHubScreenshotCaption16;565;Text;;
SurfaceHubScreenshotCaption17;566;Text;;
SurfaceHubScreenshotCaption18;567;Text;;
SurfaceHubScreenshotCaption19;568;Text;;
SurfaceHubScreenshotCaption20;569;Text;;
SurfaceHubScreenshotCaption21;570;Text;;
SurfaceHubScreenshotCaption22;571;Text;;
SurfaceHubScreenshotCaption23;572;Text;;
SurfaceHubScreenshotCaption24;573;Text;;
SurfaceHubScreenshotCaption25;574;Text;;
SurfaceHubScreenshotCaption26;575;Text;;
SurfaceHubScreenshotCaption27;576;Text;;
SurfaceHubScreenshotCaption28;577;Text;;
SurfaceHubScreenshotCaption29;578;Text;;
SurfaceHubScreenshotCaption30;579;Text;;
StoreLogo720x1080;600;Relative path (or URL to file in Partner Center);;
StoreLogo1080x1080;601;Relative path (or URL to file in Partner Center);;
StoreLogo300x300;602;Relative path (or URL to file in Partner Center);;
OverrideLogosForWin10;603;True/False;;FALSE
StoreLogoOverride150x150;604;Relative path (or URL to file in Partner Center);;
StoreLogoOverride71x71;605;Relative path (or URL to file in Partner Center);;
PromoImage1920x1080;606;Relative path (or URL to file in Partner Center);;
PromoImage2400x1200;607;Relative path (or URL to file in Partner Center);;
XboxBrandedKeyArt584x800;608;Relative path (or URL to file in Partner Center);;
XboxTitledHero1920x1080;609;Relative path (or URL to file in Partner Center);;
XboxFeaturedPromo1080x1080;610;Relative path (or URL to file in Partner Center);;
OptionalPromo358x358;611;Relative path (or URL to file in Partner Center);;
OptionalPromo1000x800;612;Relative path (or URL to file in Partner Center);;
OptionalPromo414x180;613;Relative path (or URL to file in Partner Center);;
Feature1;700;Text;Full Git support (Commit, Push, Pull, Branch, Merge, Rebase);Full Git support (Commit, Push, Pull, Branch, Merge, Rebase)
Feature2;701;Text;Side-by-side, Unified, and Context diff modes with syntax highlighting;Side-by-side, Unified, and Context diff modes with syntax highlighting
Feature3;702;Text;Folder comparison tool for directory trees and release branches;Folder comparison tool for directory trees and release branches
Feature4;703;Text;Integrated Pull Request review for GitHub, GitLab, Bitbucket, and Gitea;Integrated Pull Request review for GitHub, GitLab, Bitbucket, and Gitea
Feature5;704;Text;Advanced full-text search across history, Office docs, PDFs, and images;Advanced full-text search across history, Office docs, PDFs, and images
Feature6;705;Text;Repository health statistics and author contribution dashboards;Repository health statistics and author contribution dashboards
Feature7;706;Text;Built-in Git LFS support for large binary assets;Built-in Git LFS support for large binary assets
Feature8;707;Text;;
Feature9;708;Text;;
Feature10;709;Text;;
Feature11;710;Text;;
Feature12;711;Text;;
Feature13;712;Text;;
Feature14;713;Text;;
Feature15;714;Text;;
Feature16;715;Text;;
Feature17;716;Text;;
Feature18;717;Text;;
Feature19;718;Text;;
Feature20;719;Text;;
MinimumHardwareReq1;800;Text;512 MB RAM;512 MB RAM
MinimumHardwareReq2;801;Text;150 MB disk space;150 MB disk space
MinimumHardwareReq3;802;Text;;
MinimumHardwareReq4;803;Text;;
MinimumHardwareReq5;804;Text;;
MinimumHardwareReq6;805;Text;;
MinimumHardwareReq7;806;Text;;
MinimumHardwareReq8;807;Text;;
MinimumHardwareReq9;808;Text;;
MinimumHardwareReq10;809;Text;;
MinimumHardwareReq11;810;Text;;
RecommendedHardwareReq1;850;Text;1 GB RAM;1 GB RAM
RecommendedHardwareReq2;851;Text;;
RecommendedHardwareReq3;852;Text;;
RecommendedHardwareReq4;853;Text;;
RecommendedHardwareReq5;854;Text;;
RecommendedHardwareReq6;855;Text;;
RecommendedHardwareReq7;856;Text;;
RecommendedHardwareReq8;857;Text;;
RecommendedHardwareReq9;858;Text;;
RecommendedHardwareReq10;859;Text;;
RecommendedHardwareReq11;860;Text;;
SearchTerm1;900;Text;git gui;git gui
SearchTerm2;901;Text;git client;git client
SearchTerm3;902;Text;diff viewer;diff viewer
SearchTerm4;903;Text;github desktop alternative;github desktop alternative
SearchTerm5;904;Text;file compare;file compare
SearchTerm6;905;Text;folder compare;folder compare
SearchTerm7;906;Text;version control;version control
TrailerToPlayAtTopOfListing;999;Relative path (or URL to file in Partner Center);;
Trailer1;1000;Relative path (or URL to file in Partner Center);;
Trailer2;1001;Relative path (or URL to file in Partner Center);;
Trailer3;1002;Relative path (or URL to file in Partner Center);;
Trailer4;1003;Relative path (or URL to file in Partner Center);;
Trailer5;1004;Relative path (or URL to file in Partner Center);;
Trailer6;1005;Relative path (or URL to file in Partner Center);;
Trailer7;1006;Relative path (or URL to file in Partner Center);;
Trailer8;1007;Relative path (or URL to file in Partner Center);;
Trailer9;1008;Relative path (or URL to file in Partner Center);;
Trailer10;1009;Relative path (or URL to file in Partner Center);;
Trailer11;1010;Relative path (or URL to file in Partner Center);;
Trailer12;1011;Relative path (or URL to file in Partner Center);;
Trailer13;1012;Relative path (or URL to file in Partner Center);;
Trailer14;1013;Relative path (or URL to file in Partner Center);;
Trailer15;1014;Relative path (or URL to file in Partner Center);;
TrailerTitle1;1020;Text;;
TrailerTitle2;1021;Text;;
TrailerTitle3;1022;Text;;
TrailerTitle4;1023;Text;;
TrailerTitle5;1024;Text;;
TrailerTitle6;1025;Text;;
TrailerTitle7;1026;Text;;
TrailerTitle8;1027;Text;;
TrailerTitle9;1028;Text;;
TrailerTitle10;1029;Text;;
TrailerTitle11;1030;Text;;
TrailerTitle12;1031;Text;;
TrailerTitle13;1032;Text;;
TrailerTitle14;1033;Text;;
TrailerTitle15;1034;Text;;
TrailerThumbnail1;1040;Relative path (or URL to file in Partner Center);;
TrailerThumbnail2;1041;Relative path (or URL to file in Partner Center);;
TrailerThumbnail3;1042;Relative path (or URL to file in Partner Center);;
TrailerThumbnail4;1043;Relative path (or URL to file in Partner Center);;
TrailerThumbnail5;1044;Relative path (or URL to file in Partner Center);;
TrailerThumbnail6;1045;Relative path (or URL to file in Partner Center);;
TrailerThumbnail7;1046;Relative path (or URL to file in Partner Center);;
TrailerThumbnail8;1047;Relative path (or URL to file in Partner Center);;
TrailerThumbnail9;1048;Relative path (or URL to file in Partner Center);;
TrailerThumbnail10;1049;Relative path (or URL to file in Partner Center);;
TrailerThumbnail11;1050;Relative path (or URL to file in Partner Center);;
TrailerThumbnail12;1051;Relative path (or URL to file in Partner Center);;
TrailerThumbnail13;1052;Relative path (or URL to file in Partner Center);;
TrailerThumbnail14;1053;Relative path (or URL to file in Partner Center);;
TrailerThumbnail15;1054;Relative path (or URL to file in Partner Center);;
TrailerClosedCaption1;1055;Relative path (or URL to file in Partner Center);;
TrailerClosedCaption2;1056;Relative path (or URL to file in Partner Center);;
TrailerClosedCaption3;1057;Relative path (or URL to file in Partner Center);;
TrailerClosedCaption4;1058;Relative path (or URL to file in Partner Center);;
TrailerClosedCaption5;1059;Relative path (or URL to file in Partner Center);;
TrailerClosedCaption6;1060;Relative path (or URL to file in Partner Center);;
TrailerClosedCaption7;1061;Relative path (or URL to file in Partner Center);;
TrailerClosedCaption8;1062;Relative path (or URL to file in Partner Center);;
TrailerClosedCaption9;1063;Relative path (or URL to file in Partner Center);;
TrailerClosedCaption10;1064;Relative path (or URL to file in Partner Center);;
TrailerClosedCaption11;1065;Relative path (or URL to file in Partner Center);;
TrailerClosedCaption12;1066;Relative path (or URL to file in Partner Center);;
TrailerClosedCaption13;1067;Relative path (or URL to file in Partner Center);;
TrailerClosedCaption14;1068;Relative path (or URL to file in Partner Center);;
TrailerClosedCaption15;1069;Relative path (or URL to file in Partner Center);;
TrailerAudioDescription1;1070;Relative path (or URL to file in Partner Center);;
TrailerAudioDescription2;1071;Relative path (or URL to file in Partner Center);;
TrailerAudioDescription3;1072;Relative path (or URL to file in Partner Center);;
TrailerAudioDescription4;1073;Relative path (or URL to file in Partner Center);;
TrailerAudioDescription5;1074;Relative path (or URL to file in Partner Center);;
TrailerAudioDescription6;1075;Relative path (or URL to file in Partner Center);;
TrailerAudioDescription7;1076;Relative path (or URL to file in Partner Center);;
TrailerAudioDescription8;1077;Relative path (or URL to file in Partner Center);;
TrailerAudioDescription9;1078;Relative path (or URL to file in Partner Center);;
TrailerAudioDescription10;1079;Relative path (or URL to file in Partner Center);;
TrailerAudioDescription11;1080;Relative path (or URL to file in Partner Center);;
TrailerAudioDescription12;1081;Relative path (or URL to file in Partner Center);;
TrailerAudioDescription13;1082;Relative path (or URL to file in Partner Center);;
TrailerAudioDescription14;1083;Relative path (or URL to file in Partner Center);;
TrailerAudioDescription15;1084;Relative path (or URL to file in Partner Center);;
